2026-09-09 16:25:11 BLAD w (1/3): Example 1: source must contain exact word 'w', not an inflected form
2026-09-09 16:25:12 BLAD i (1/3): Example 1: source must contain exact word 'i', not an inflected form
2026-09-09 16:25:17 BLAD się (1/3): Example 1: source must contain exact word 'się', not an inflected form
2026-09-09 16:25:18 BLAD to (1/3): Example 1: source must contain exact word 'to', not an inflected form
2026-09-09 16:25:19 BLAD z (1/3): Example 1: source must contain exact word 'z', not an inflected form
2026-09-09 16:25:21 BLAD do (1/3): Example 1: source must contain exact word 'do', not an inflected form
2026-09-09 16:25:23 BLAD że (1/3): Example 1: source must contain exact word 'że', not an inflected form
2026-09-09 16:25:25 BLAD w (2/3): Example 1: source must contain exact word 'w', not an inflected form
2026-09-09 16:25:26 BLAD i (2/3): Example 1: source must contain exact word 'i', not an inflected form
2026-09-09 16:25:34 BLAD się (2/3): Gemini nie dokonczyl odpowiedzi
2026-09-09 16:25:36 BLAD to (2/3): Example 1: source must contain exact word 'to', not an inflected form
2026-09-09 16:25:37 BLAD z (2/3): Example 1: source must contain exact word 'z', not an inflected form
2026-09-09 16:25:39 BLAD do (2/3): Example 1: source must contain exact word 'do', not an inflected form
2026-09-09 16:25:40 BLAD że (2/3): Example 1: source must contain exact word 'że', not an inflected form
2026-09-09 16:25:41 BLAD w (3/3): Example 1: source must contain exact word 'w', not an inflected form
2026-09-09 16:25:42 BLAD i (3/3): Example 1: source must contain exact word 'i', not an inflected form
2026-09-09 16:25:44 BLAD się (3/3): Example 1: source must contain exact word 'się', not an inflected form
2026-09-09 16:25:45 BLAD to (3/3): Example 1: source must contain exact word 'to', not an inflected form
2026-09-09 16:25:47 BLAD z (3/3): Example 1: source must contain exact word 'z', not an inflected form
2026-09-09 16:25:48 BLAD do (3/3): Example 1: source must contain exact word 'do', not an inflected form
2026-09-09 16:25:49 BLAD że (3/3): Example 1: source must contain exact word 'że', not an inflected form
